customer_unique_id,recency_days,frequency,monetary,avg_review_score,customer_segment,churn_probability
236dacbc1f324d6a99fb16c7a7fa22cd,318,1,69.13,1.0,At Risk,0.9493091233137898
de8aa40d1da9b00f974f10c02e4a6848,522,1,60.61,1.0,Regular,0.9487242704349275
fb6f9af66cfaf3d4bde172deb0e927eb,227,1,81.6,1.0,Loyal,0.948647296194799
f7c7677be77763b1b2cf982a5e67fa61,285,1,81.79,1.0,Loyal,0.9484827286839268
36713f3f59dd5ce1daf3510ca45de822,220,1,62.2,1.0,Regular,0.9482982200993306
47a0a92a1b4d507faa45c6d4910e9d2d,234,1,68.49,1.0,Regular,0.9480197810593716
25b41865a6b1e3f345f543dea12f923d,247,1,58.0,1.0,At Risk,0.9479294206839151
fc2ee6e4662c1d201c8cc20f2ea247d1,205,1,43.22,1.0,Loyal,0.9477055113289953
57885ad17d2b04517064d6f4a3dac03f,223,1,69.22,1.0,Regular,0.9476538721722373
882584c7ef02367730c6bf81f027535f,221,1,45.22,1.0,Regular,0.9469110330908829
d3a498659d2a03311f7a7d31941f686f,369,1,54.05,1.0,Regular,0.9468034007519905
fb2c913de4ddc0609e8cc4e3ee528d3e,339,1,45.62,1.0,Regular,0.946798795757165
4fbdabffc2662eabc5fc8e559a24c676,328,1,66.67,1.0,At Risk,0.94660124059329
2ea70c72b230071a2e130c4ec05051b2,227,1,69.62,1.0,Regular,0.9462150489664135
197516d0c9c650ba91a1cc68b18df7b7,380,1,56.49,1.0,At Risk,0.9459310414526365
280f4052479455e2975918c0f9bb6dcc,231,1,55.62,1.0,At Risk,0.9459129877917836
6b84cfe387ab703b75f60c63b696cd05,232,1,64.1,1.0,Regular,0.9457107468858921
7034f37a1eb2804f0516f8dd43079110,328,1,66.67,1.0,Regular,0.945278926543703
11e51fdd16f6c9efd1a09cf188c25a29,227,1,43.09,1.0,At Risk,0.9451841520606127
9bb13cd220fc3783d69a3d28accf2004,228,1,67.53,1.0,Regular,0.9450367056175402
a8fb983cadca8862b78741d5165bf8cc,561,1,47.42,1.0,At Risk,0.9449909671470083
e16d2d606a19a9dd1aeb5fe4fbc79b4f,325,1,73.16,1.0,Regular,0.9446567462382572
0342671f965441203a37ba45931e64d6,505,1,67.6,1.0,At Risk,0.9442663708740499
9f71041667decc88f2ca7f8c2189fa1c,238,1,64.6,1.0,Regular,0.9442532828961459
00e67cd18afc92ef0196eb8cdf31fde0,323,1,45.2,1.0,At Risk,0.9442495965787228
d82e03353dcd4c2c6ddd3dba073c8da8,321,1,64.1,1.0,Regular,0.943426459368537
cef82db324c0cd93edb2c23aae1a69ac,221,1,66.69,1.0,Loyal,0.9427431060932027
9ef4905006f939a993f4794df18564c7,346,1,54.14,1.0,Regular,0.9422743202066958
81961b91ef27eea7d61e6ee67229c6f9,251,1,70.63,1.0,Regular,0.9420801457057221
cd0681f9dd735d79fc45ab1c5b8e6de1,329,1,57.21,1.0,Regular,0.9420638597310174
388d0b77395c2bcb6c0a1866cc1793eb,231,1,47.62,1.0,At Risk,0.9419457531955804
26723c2369b2d756562aea0d206748ca,570,1,85.6,1.0,At Risk,0.9419082123814249
9414464151c017ded4b6340991c447ee,327,1,86.97,1.0,Regular,0.9418139237565358
225416791adc72d9d36e757e7f1d628a,285,1,61.45,1.0,At Risk,0.9417692113979628
00c4d93157cffc73cb2459f52b89cee4,363,1,83.01,1.0,At Risk,0.9417680565425778
9f3a4f9a67346ae72d8edc3b766e664f,75,1,80.19,1.0,Loyal,0.9417666491609116
426f0839fbb0679c6f1ef8f80cc30c66,596,1,52.18,1.0,At Risk,0.9417392523297765
eabd461b28713dd65399567d5db5af22,326,1,82.73,1.0,Regular,0.9416948347393648
c8c05588f323c1f224df94ea908941ec,218,1,85.45,1.0,Loyal,0.9416556245628718
