table,column,dtype,null_count,null_pct,unique_values,sample_value
products,product_id,str,0,0.0,32951,1e9e8ef04dbcff4541ed26657ea517e5
products,product_category_name,str,610,1.85,73,perfumaria
products,product_name_lenght,float64,610,1.85,66,40.0
products,product_description_lenght,float64,610,1.85,2960,287.0
products,product_photos_qty,float64,610,1.85,19,1.0
products,product_weight_g,float64,2,0.01,2204,225.0
products,product_length_cm,float64,2,0.01,99,16.0
products,product_height_cm,float64,2,0.01,102,10.0
products,product_width_cm,float64,2,0.01,95,14.0
product_category_name_translation,product_category_name,str,0,0.0,71,beleza_saude
product_category_name_translation,product_category_name_english,str,0,0.0,71,health_beauty
customers,customer_id,str,0,0.0,99441,06b8999e2fba1a1fbc88172c00ba8bc7
customers,customer_unique_id,str,0,0.0,96096,861eff4711a542e4b93843c6dd7febb0
customers,customer_zip_code_prefix,int64,0,0.0,14994,14409
customers,customer_city,str,0,0.0,4119,franca
customers,customer_state,str,0,0.0,27,SP
order_payments,order_id,str,0,0.0,99440,b81ef226f3fe1789b1e8b2acac839d17
order_payments,payment_sequential,int64,0,0.0,29,1
order_payments,payment_type,str,0,0.0,5,credit_card
order_payments,payment_installments,int64,0,0.0,24,8
order_payments,payment_value,float64,0,0.0,29077,99.33
order_items,order_id,str,0,0.0,98666,00010242fe8c5a6d1ba2dd792cb16214
order_items,order_item_id,int64,0,0.0,21,1
order_items,product_id,str,0,0.0,32951,4244733e06e7ecb4970a6e2683c13e61
order_items,seller_id,str,0,0.0,3095,48436dade18ac8b2bce089ec2a041202
order_items,shipping_limit_date,str,0,0.0,93318,2017-09-19 09:45:35
order_items,price,float64,0,0.0,5968,58.9
order_items,freight_value,float64,0,0.0,6999,13.29
sellers,seller_id,str,0,0.0,3095,3442f8959a84dea7ee197c632cb2df15
sellers,seller_zip_code_prefix,int64,0,0.0,2246,13023
sellers,seller_city,str,0,0.0,611,campinas
sellers,seller_state,str,0,0.0,23,SP
orders,order_id,str,0,0.0,99441,e481f51cbdc54678b7cc49136f2d6af7
orders,customer_id,str,0,0.0,99441,9ef432eb6251297304e76186b10a928d
orders,order_status,str,0,0.0,8,delivered
orders,order_purchase_timestamp,str,0,0.0,98875,2017-10-02 10:56:33
orders,order_approved_at,str,160,0.16,90733,2017-10-02 11:07:15
orders,order_delivered_carrier_date,str,1783,1.79,81018,2017-10-04 19:55:00
orders,order_delivered_customer_date,str,2965,2.98,95664,2017-10-10 21:25:13
orders,order_estimated_delivery_date,str,0,0.0,459,2017-10-18 00:00:00
geolocation,geolocation_zip_code_prefix,int64,0,0.0,19015,1037
geolocation,geolocation_lat,float64,0,0.0,717360,-23.54562128115268
geolocation,geolocation_lng,float64,0,0.0,717613,-46.63929204800168
geolocation,geolocation_city,str,0,0.0,8011,sao paulo
geolocation,geolocation_state,str,0,0.0,27,SP
order_reviews,review_id,str,0,0.0,98410,7bc2406110b926393aa56f80a40eba40
order_reviews,order_id,str,0,0.0,98673,73fc7af87114b39712e6da79b0a377eb
order_reviews,review_score,int64,0,0.0,5,4
order_reviews,review_comment_title,str,87656,88.34,4527,recomendo
order_reviews,review_comment_message,str,58247,58.7,36159,Recebi bem antes do prazo estipulado.
order_reviews,review_creation_date,str,0,0.0,636,2018-01-18 00:00:00
order_reviews,review_answer_timestamp,str,0,0.0,98248,2018-01-18 21:46:59
